event_id,compound,n_laps,observed_slope,predicted_slope
2022_15_R,HARD,26,0.04113341707763385,0.015818249434232712
2022_15_R,HARD,28,0.03626734116291376,0.015818249434232712
2022_15_R,HARD,6,0.0523965711073593,0.015818249434232712
2022_15_R,HARD,7,0.11672764227642107,0.015818249434232712
2022_15_R,HARD,7,0.018319333333334457,0.015818249434232712
2022_15_R,HARD,4,-0.04035585585586105,0.015818249434232712
2022_15_R,HARD,8,0.03977733333333002,0.015818249434232712
2022_15_R,HARD,4,0.051233333333335296,0.015818249434232712
2022_15_R,HARD,6,0.08574684684684925,0.015818249434232712
2022_15_R,SOFT,7,0.2949404761904817,0.01936430111527443
2022_15_R,SOFT,6,0.0419115288220578,0.01936430111527443
2022_15_R,SOFT,6,0.2768047619047567,0.01936430111527443
2022_15_R,SOFT,4,0.2495333333333364,0.01936430111527443
2022_15_R,SOFT,5,0.1811333333333304,0.01936430111527443
2022_15_R,SOFT,5,0.028133333333330922,0.01936430111527443
2022_15_R,SOFT,8,0.11373809523809662,0.01936430111527443
2022_15_R,SOFT,5,-0.07816666666667257,0.01936430111527443
2022_15_R,SOFT,8,0.02111904761904404,0.01936430111527443
2022_15_R,SOFT,7,0.04057923497267624,0.01936430111527443
2022_15_R,SOFT,8,0.08783333333333669,0.01936430111527443
2022_15_R,SOFT,6,-0.03198095238095362,0.01936430111527443
2022_15_R,SOFT,14,0.05470788954635153,0.01936430111527443
2022_15_R,SOFT,9,0.09926666666665916,0.01936430111527443
2022_15_R,SOFT,5,0.13173333333332843,0.01936430111527443
2022_16_R,MEDIUM,6,0.019976968272618537,0.0001094790204660967
2022_16_R,MEDIUM,11,0.04484972757523405,0.0001094790204660967
2022_16_R,MEDIUM,10,0.07139838969404241,0.0001094790204660967
2022_16_R,MEDIUM,18,0.09397224234075896,0.0001094790204660967
2022_16_R,MEDIUM,5,0.04314514547237656,0.0001094790204660967
2022_16_R,MEDIUM,14,0.05051969008132007,0.0001094790204660967
2022_16_R,MEDIUM,16,0.060678836317136026,0.0001094790204660967
2022_16_R,MEDIUM,10,0.09766413043478497,0.0001094790204660967
2022_16_R,MEDIUM,16,0.08289942455243228,0.0001094790204660967
2022_16_R,MEDIUM,7,0.06014689742507475,0.0001094790204660967
2022_16_R,MEDIUM,13,0.06619945143344372,0.0001094790204660967
2022_16_R,SOFT,5,0.028569027341995835,0.00016933318693190813
2022_16_R,SOFT,8,0.08641770186335011,0.00016933318693190813
2022_16_R,SOFT,10,0.03386640316205611,0.00016933318693190813
2022_16_R,SOFT,9,0.06735869565217069,0.00016933318693190813
2022_16_R,SOFT,4,-0.10095005875440546,0.00016933318693190813
2022_16_R,SOFT,8,0.030667701863351146,0.00016933318693190813
2022_16_R,SOFT,11,0.09735917112654426,0.00016933318693190813
2022_16_R,SOFT,10,0.03745683787704313,0.00016933318693190813
2022_16_R,SOFT,12,0.0910821419135129,0.00016933318693190813
2022_16_R,HARD,4,0.16363913043478764,2.2768253984395415e-05
2022_16_R,HARD,16,0.07932248274633041,2.2768253984395415e-05
2022_16_R,HARD,16,0.099545331985174,2.2768253984395415e-05
2022_16_R,HARD,21,0.04710884747271228,2.2768253984395415e-05
2022_16_R,HARD,20,0.057833332239736815,2.2768253984395415e-05
2022_16_R,HARD,16,0.06370316949170231,2.2768253984395415e-05
2022_16_R,HARD,21,0.057784467374684866,2.2768253984395415e-05
2022_16_R,HARD,9,0.10987246376811678,2.2768253984395415e-05
2022_16_R,HARD,16,0.0680559042512652,2.2768253984395415e-05
2022_19_R,MEDIUM,5,0.41421235521236416,0.019536614418029785
2022_19_R,MEDIUM,8,0.07420238095238117,0.019536614418029785
2022_19_R,MEDIUM,9,0.13043273809523687,0.019536614418029785
2022_19_R,MEDIUM,4,0.06542857142857125,0.019536614418029785
2022_19_R,MEDIUM,14,0.08757251824452886,0.019536614418029785
2022_19_R,MEDIUM,23,0.05391328716065845,0.019536614418029785
2022_19_R,MEDIUM,6,0.005469269102990097,0.019536614418029785
2022_19_R,MEDIUM,5,0.11455019305018924,0.019536614418029785
2022_19_R,MEDIUM,11,0.0950653235653264,0.019536614418029785
2022_19_R,MEDIUM,7,0.15889285714286536,0.019536614418029785
2022_19_R,MEDIUM,10,0.16066897774911437,0.019536614418029785
2022_19_R,MEDIUM,11,0.13307402597402923,0.019536614418029785
2022_19_R,MEDIUM,13,0.09337174877815786,0.019536614418029785
2022_19_R,MEDIUM,4,0.08839010989010841,0.019536614418029785
2022_19_R,MEDIUM,11,0.016746753246753492,0.019536614418029785
2022_19_R,HARD,11,0.15560717367188304,0.009325096383690834
2022_19_R,HARD,11,0.04441948051948475,0.009325096383690834
2022_19_R,HARD,11,0.012835454019667642,0.009325096383690834
2022_19_R,HARD,5,0.015920318333659606,0.009325096383690834
2022_19_R,HARD,10,0.023118477331049107,0.009325096383690834
2022_19_R,HARD,13,0.057093887473951194,0.009325096383690834
2022_19_R,HARD,18,0.023321475920273917,0.009325096383690834
